Title,Production Company,Genre,Runtime,Release Date,Year,Budget,Opening Amount,Total Gross,Revenue
The Jungle Book,Walt Disney Studios Motion Pictures,Family,106.0,Apr 15,2016,175000000,103261464,364001123,966550600
Deadpool,Twentieth Century Fox,Action,108.0,Feb 12,2016,58000000,132434639,363070709,783112979
Zootopia,Walt Disney Studios Motion Pictures,Animation,108.0,Mar 4,2016,150000000,75063401,341268248,1023784195
Batman v Superman: Dawn of Justice,Warner Bros.,Action,151.0,Mar 25,2016,250000000,166007347,330360194,873260194
Suicide Squad,Warner Bros.,Action,123.0,Aug 5,2016,175000000,133682248,325100054,745600054
Doctor Strange,Walt Disney Studios Motion Pictures,Action,115.0,Nov 4,2016,165000000,85058311,232641920,677718395
Fantastic Beasts and Where to Find Them,Warner Bros.,Adventure,133.0,Nov 18,2016,180000000,74403387,234037575,809342332
Moana,Walt Disney Studios Motion Pictures,Adventure,107.0,Nov 23,2016,150000000,56631401,248757044,643034466
Jason Bourne,Universal Pictures,Action,123.0,Jul 29,2016,120000000,59215365,162434410,415484914
Star Trek Beyond,Paramount Pictures,Action,122.0,Jul 22,2016,185000000,59253211,158848340,343471816
X-Men: Apocalypse,Twentieth Century Fox,Science Fiction,144.0,May 27,2016,178000000,65769562,155442489,543934787
Sing,Universal Pictures,Animation,108.0,Dec 21,2016,75000000,35258145,270395425,632443719
Trolls,Twentieth Century Fox,Adventure,92.0,Nov 4,2016,125000000,46581142,153707064,346864462
Kung Fu Panda 3,Twentieth Century Fox,Action,95.0,Jan 29,2016,145000000,41282042,143528619,521170825
Ghostbusters,Sony Pictures Releasing,Comedy,107.0,Jul 15,2016,30000000,46018755,128350574,295212467
Ghostbusters,Sony Pictures Releasing,Action,116.0,Jul 15,2016,144000000,46018755,128350574,229147509
Central Intelligence,Warner Bros.,Action,107.0,Jun 17,2016,50000000,35535250,127440871,216972543
The Legend of Tarzan,Warner Bros.,Action,109.0,Jul 1,2016,180000000,38527856,126643061,356743061
Sully,Warner Bros.,Drama,96.0,Sep 9,2016,60000000,35028301,125070033,238470033
Bad Moms,STX Entertainment,Comedy,100.0,Jul 29,2016,20000000,23817340,113257297,183936074
The Angry Birds Movie,Sony Pictures Releasing,Family,97.0,May 20,2016,73000000,38155177,107509366,349779543
Independence Day: Resurgence,Twentieth Century Fox,Action,120.0,Jun 24,2016,165000000,41039944,103144286,389681935
The Conjuring 2,Warner Bros.,Horror,134.0,Jun 10,2016,40000000,40406314,102470008,320170008
Sausage Party,Sony Pictures Releasing,Adventure,83.0,Aug 12,2016,19000000,34263534,97685686,140705322
The Magnificent Seven,Sony Pictures Releasing,Western,128.0,Sep 23,2016,2000000,34703397,93432655,4905000
The Magnificent Seven,Sony Pictures Releasing,Adventure,132.0,Sep 23,2016,90000000,34703397,93432655,162360636
Arrival,Paramount Pictures,Thriller,113.0,Nov 11,2016,47000000,24074047,100546139,203388186
Ride Along 2,Universal Pictures,Action,102.0,Jan 15,2016,40000000,35243095,91221830,124827316
Don't Breathe,Screen Gems,Crime,88.0,Aug 26,2016,9900000,26411706,89217875,157100845
Miss Peregrine's Home for Peculiar Children,Twentieth Century Fox,Drama,127.0,Sep 30,2016,110000000,28871140,87242834,296485719
The Accountant,Warner Bros.,Crime,128.0,Oct 14,2016,44000000,24710273,86260045,155160045
Daddy's Home,Paramount Pictures,Comedy,96.0,Dec 25,2016,50000000,38740203,150357137,242786137
Teenage Mutant Ninja Turtles: Out of the Shadows,Paramount Pictures,Fantasy,112.0,Jun 3,2016,135000000,35316382,82051601,245623848
The Purge: Election Year,Universal Pictures,Action,105.0,Jul 1,2016,10000000,31515110,79213375,118587880
Alice Through the Looking Glass,Walt Disney Studios Motion Pictures,Family,113.0,May 27,2016,170000000,26858726,77041381,299370084
Pete's Dragon,Walt Disney Studios Motion Pictures,Fantasy,128.0,Aug 12,2016,10000000,21514095,76233151,0
Pete's Dragon,Walt Disney Studios Motion Pictures,Adventure,102.0,Aug 12,2016,65000000,21514095,76233151,143695338
The Girl on the Train,Universal Pictures,Crime,112.0,Oct 7,2016,45000000,24536265,75395035,173185859
Storks,Warner Bros.,Adventure,87.0,Sep 23,2016,70000000,21311407,72679278,182379278
10 Cloverfield Lane,Paramount Pictures,Thriller,103.0,Mar 11,2016,15000000,24727437,72082998,108286421
Lights Out,Warner Bros.,Horror,81.0,Jul 22,2016,4900000,21688103,67268835,148868835
Allegiant,Lionsgate,Adventure,121.0,Mar 18,2016,110000000,29027348,66184051,179246868
Now You See Me 2,Lionsgate,Action,129.0,Jun 10,2016,90000000,22383146,65075540,334901337
Ice Age: Collision Course,Twentieth Century Fox,Adventure,100.0,Jul 22,2016,105000000,21373064,64063008,408579038
The Boss,Universal Pictures,Comedy,91.0,Apr 8,2016,29000000,23586645,63285885,78636257
London Has Fallen,Focus Features,Action,99.0,Mar 4,2016,60000000,21635601,62524260,205754447
Deepwater Horizon,Lionsgate,Drama,107.0,Sep 30,2016,110000000,20223544,61433527,121790373
Jack Reacher: Never Go Back,Paramount Pictures,Action,118.0,Oct 21,2016,60000000,22872490,58697076,162146076
Neighbors 2: Sorority Rising,Universal Pictures,Comedy,91.0,May 20,2016,35000000,21760405,55455765,108758521
Barbershop: The Next Cut,Warner Bros.,Comedy,112.0,Apr 15,2016,20000000,20242415,54030051,55030051
Warcraft,Universal Pictures,Action,123.0,Jun 10,2016,160000000,24166110,47365290,433677183
The Good Dinosaur,Walt Disney Studios Motion Pictures,Adventure,93.0,Nov 25,2016,175000000,39155217,123087120,331926147
The Hunger Games: Mockingjay - Part 2,Lionsgate,Action,137.0,Nov 20,2016,160000000,102665981,281723902,653428261
Creed,Warner Bros.,Drama,133.0,Nov 25,2016,37000000,29632823,109767581,173567581
The Martian,Twentieth Century Fox,Drama,141.0,Oct 2,2016,108000000,54308575,228433663,630161890
Spectre,Sony Pictures Releasing,Action,148.0,Nov 6,2016,245000000,70403148,200074609,880674609
The Peanuts Movie,Twentieth Century Fox,Animation,88.0,Nov 6,2016,99000000,44213073,130178411,246233113
Hotel Transylvania 2,Sony Pictures Releasing,Animation,89.0,Sep 25,2016,80000000,48464322,169700110,473226958
Goosebumps,Sony Pictures Releasing,Adventure,103.0,Oct 16,2016,58000000,23618556,80080379,158162788
My Best Friend's Wedding,Sony Pictures Releasing,Comedy,105.0,Aug 12,2016,38000000,21678377,78578,299288605
Maze Runner: The Scorch Trials,Twentieth Century Fox,Action,132.0,Sep 18,2016,61000000,30316510,81697192,311256926
Moana,Walt Disney Studios Motion Pictures,Adventure,107.0,Nov 13,2016,150000000,56631401,2993,643034466
Beauty and the Beast,Walt Disney Studios Motion Pictures,Romance,84.0,Mar 17,2017,25000000,174750616,504014165,377350553
Beauty and the Beast,Walt Disney Studios Motion Pictures,Fantasy,112.0,Mar 17,2017,33000000,174750616,504014165,49100000
Beauty and the Beast,Walt Disney Studios Motion Pictures,Family,129.0,Mar 17,2017,160000000,174750616,504014165,1262886337
Wonder Woman,Warner Bros.,Action,141.0,Jun 2,2017,149000000,103251471,412563408,820580447
Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,Action,137.0,May 5,2017,200000000,146510104,389813101,863416141
Despicable Me 3,Universal Pictures,Action,96.0,Jun 30,2017,80000000,72434025,264624300,1020063384
Logan,Twentieth Century Fox,Comedy,94.0,Mar 3,2017,135000,88411916,226277068,10474
Logan,Twentieth Century Fox,Action,137.0,Mar 3,2017,97000000,88411916,226277068,616801808
The Fate of the Furious,Universal Pictures,Action,136.0,Apr 14,2017,250000000,98786705,226008385,1238764765
Dunkirk,Warner Bros.,Action,107.0,Jul 21,2017,100000000,50513488,188045546,519876949
The Lego Batman Movie,Warner Bros.,Action,104.0,Feb 10,2017,80000000,53003468,175750384,311950384
Get Out,Universal Pictures,Mystery,104.0,Feb 24,2017,5000000,33377060,176040665,252434250
The Boss Baby,Twentieth Century Fox,Animation,97.0,Mar 31,2017,125000000,50198902,175003033,498814908
Pirates of the Caribbean: Dead Men Tell No Tales,Walt Disney Studios Motion Pictures,Adventure,129.0,May 26,2017,230000000,62983253,172558876,794191988
Kong: Skull Island,Warner Bros.,Action,118.0,Mar 10,2017,185000000,61025472,168052812,566652812
Cars 3,Walt Disney Studios Motion Pictures,Family,109.0,Jun 16,2017,175000000,53688680,152901115,350170057
War for the Planet of the Apes,Twentieth Century Fox,Drama,140.0,Jul 14,2017,152000000,56262929,146880162,369907963
Split,Universal Pictures,Horror,117.0,Jan 20,2017,9000000,40010975,138291365,276921998
Transformers: The Last Knight,Paramount Pictures,Action,149.0,Jun 21,2017,260000000,44680073,130168683,604942143
Rogue One: A Star Wars Story,Walt Disney Studios Motion Pictures,Action,133.0,Dec 16,2017,200000000,155081681,532177324,1056057273
Sing,Universal Pictures,Animation,108.0,Dec 21,2017,75000000,35258145,270395425,632443719
Fifty Shades Darker,Universal Pictures,Drama,118.0,Feb 10,2017,55000000,46607250,114581250,378827494
Baby Driver,TriStar Pictures,Action,113.0,Jun 28,2017,34000000,20553320,107825862,224511319
John Wick: Chapter 2,Lionsgate,Thriller,122.0,Feb 10,2017,40000000,30436123,92029184,171539887
The Emoji Movie,Sony Pictures Releasing,Comedy,86.0,Jul 28,2017,50000000,24531923,86089513,66913939
Power Rangers,Lionsgate,Action,124.0,Mar 24,2017,100000000,40300288,85364450,142337240
The Mummy,Universal Pictures,Adventure,124.0,Jun 9,2017,80000000,43369635,80227895,415885488
The Mummy,Universal Pictures,Adventure,124.0,Jun 9,2017,80000000,31688375,80227895,415885488
The Mummy,Universal Pictures,Horror,73.0,Jun 9,2017,196000,43369635,80227895,0
The Mummy,Universal Pictures,Horror,73.0,Jun 9,2017,196000,31688375,80227895,0
The Mummy,Universal Pictures,Thriller,110.0,Jun 9,2017,125000000,43369635,80227895,407778013
The Mummy,Universal Pictures,Thriller,110.0,Jun 9,2017,125000000,31688375,80227895,407778013
Alien: Covenant,Twentieth Century Fox,Horror,122.0,May 19,2017,97000000,36160621,74262031,232380243
Captain Underpants: The First Epic Movie,Twentieth Century Fox,Action,89.0,Jun 2,2017,38000000,23851539,73921000,110824373
All Eyez on Me,Lionsgate,Drama,139.0,Jun 16,2017,45000000,26435354,44922302,0
xXx: Return of Xander Cage,Paramount Pictures,Action,107.0,Jan 20,2017,85000000,20130142,44898413,346147658
Moana,Walt Disney Studios Motion Pictures,Adventure,107.0,Nov 23,2017,150000000,56631401,248757044,643034466
Life,Universal Pictures,Comedy,108.0,Mar 24,2017,80000000,20414775,30234022,73345029
Life,Universal Pictures,Drama,112.0,Mar 24,2017,12000000,20414775,30234022,0
Life,Universal Pictures,Horror,103.0,Mar 24,2017,58000000,20414775,30234022,100541806
Fantastic Beasts and Where to Find Them,Warner Bros.,Adventure,133.0,Nov 18,2017,180000000,74403387,234037575,809342332
Arrival,Paramount Pictures,Thriller,113.0,Nov 11,2017,47000000,24074047,100546139,203388186
Trolls,Twentieth Century Fox,Adventure,92.0,Nov 4,2017,125000000,46581142,153707064,346864462
Doctor Strange,Walt Disney Studios Motion Pictures,Action,115.0,Nov 4,2017,165000000,85058311,232641920,677718395
The Accountant,Warner Bros.,Crime,128.0,Oct 14,2017,44000000,24710273,86260045,155160045
Miss Peregrine's Home for Peculiar Children,Twentieth Century Fox,Drama,127.0,Sep 30,2017,110000000,28871140,87242834,296485719
Storks,Warner Bros.,Adventure,87.0,Sep 23,2017,70000000,21311407,72679278,182379278
Jack Reacher: Never Go Back,Paramount Pictures,Action,118.0,Oct 21,2017,60000000,22872490,58697076,162146076
Sully,Warner Bros.,Drama,96.0,Sep 9,2017,60000000,35028301,125070033,238470033
The Magnificent Seven,Sony Pictures Releasing,Western,128.0,Sep 23,2017,2000000,34703397,93432655,4905000
The Magnificent Seven,Sony Pictures Releasing,Adventure,132.0,Sep 23,2017,90000000,34703397,93432655,162360636
A Star Is Born,Warner Bros.,Drama,181.0,Oct 5,2018,5019770,42908051,215288866,0
A Star Is Born,Warner Bros.,Drama,139.0,Oct 5,2018,6000000,42908051,215288866,161000000
Halloween,Universal Pictures,Horror,91.0,Oct 19,2018,300000,76221545,159342015,70000000
Halloween,-,Horror,91.0,Oct 19,2018,300000,26362367,159342015,70000000
Halloween,Universal Pictures,Horror,109.0,Oct 19,2018,15000000,76221545,159342015,80253908
Halloween,-,Horror,109.0,Oct 19,2018,15000000,26362367,159342015,80253908
Skyscraper,Universal Pictures,Comedy,90.0,Jul 13,2018,650000,24905015,68420120,0
